term,phrase,tag1,tag2,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4
聞きたく,そんな 話、 話 聞きたく なかった よ～。,,,en,I want to hear,,,,,,
まじ,まじ か～。,動詞,まじる,en,Seriously,,,,,,
聞いた,…マジ で やばい って 聞いた よ。,聞く,動詞,en,"v.  (Alt=聴く, Hira=きく) hear, listen; ask, question, query",,,,,,
って,…会社 マジ で やばい って 聞いた よ。,助詞,,en,What,,,,,,
やばい,…の 会社 マジ で やばい って 聞いた よ。,,,en,dangerous,,,,,,
マジ,いや、 うち の 会社 マジ で やばい って 聞いた…,名詞,,en,Really ? Really ?,,,,,,
噂,ただ の 噂 じゃない の。,名詞,,en,"rumor, gossip",,,,,,
そんな,え、 誰 が そんな こと 言って る の？,指示詞,,en,such,,,,,,
らしい,…会社 来年 リストラ する らしい。,助動詞,,en,"appear, come into view; seem",,,,,,
リストラ,…うち の 会社 来年 リストラ する らしい。,名詞,,en,"restructuring, downsizing",,,,,,
挟んだ,…さっき 小 耳 に 挟んだ ん だ けど、 うち…,動詞,挟む,en,"はさむ -  interpose, place between",,,,,,
小 耳,いや、 実 は さっき 小 耳 に 挟んだ ん だ…,,,en,こみみ ー 1. overhear; happened to hear thatColloquialism,,,,,,
ぜひ,…でも はずかしく ない なら、 ぜひ 行って みて ください。,副詞,,en,"(Kanji=是非) certainly, without fail",,,,,,
はずかしく,もし はだか でも はずかしく ない なら、 ぜひ 行って…,形容詞,はずかしい,en,（恥ずかしい、はずかしい） shy; ashamed; embarrassed,,,,,,
入ります,…で お ふろ に 入ります。,,,en,hairimasu (hairu) - to enter,,,,,,
はだか,…は、 プール と 違って はだか で お ふろ に…,名詞,,en,Naked,en,"n. 裸
1. nakedness; nudity​; naked",,,,
違って,せんとう は、 プール と 違って はだか で お ふろ…,動詞,違う,en,"たがう) differ, be dissimilar, be different",,,,,,
プール,せんとう は、 プール と 違って はだか で…,名詞,,en,プール	1: (swimming) pool; ()  2: pool (billiards); 3: pool (together),,,,,,
入れる,…この おしゃれな ふろ に 入れる そうです。,動詞,,en,"v.  (Hira=いれる) put in, take in; bring in,",,,,,,
ふろ,…日 まで この おしゃれな ふろ に 入れる そうです。,名詞,,en,bath,,,,,,
イベント,…ため に 行って いる イベント です。,名詞,,en,"n.  event, occurrence, happening; competition, contest",,,,,,
せんでん,…会社 が しょうひん を せんでん する ため に 行って…,名詞,,en,Annihilation,,,,,,
け,これ は、 け しょうひん の 会社 が…,名詞,,en,Over,,,,,,
なが,に なが わ らしい デザイン です。,,,en,length,,,,,,
なりました,…月 に なりました。,,,en,"v.  (Kanji=為る,成る) consist, become, be composed of, be made up of",en,became,,,,
する,…お客様 と 話し を する 時 幸せに 感じます。,動詞,,en,do; try; play; practice; cost; elapse; reach to,en,to do,en,"する
1. to do; to perform​
2. to cause to become; to make (into); to turn (into)​
3. to serve as; to act as; to work as​
4. to wear
5. to view as being; to think of as; to treat as; to use as​
6. to decide on; to choose​
7. to be sensed
8. to be",,
デザイン,…が ふつうの せんとう の デザイン を する こと に…,名詞,,en,"n.  design, plan; sketch, diagram; model; evil scheme",,,,,,
会社,…銀行 に 行って から、 会社 に 来てください。,名詞,,en,company かいしゃ,,,,,,
しょうひん,これ は、 け しょうひん の 会社 が しょうひん…,名詞,,en,Product,,,,,,
せんとう,おしゃれな せんとう に なりました。,名詞,,en,Bath house,en,head; lead; vanguard; first​,,,,
おしゃれな,おしゃれな せんとう に なりました。,形容詞,おしゃれだ,en,"お洒落(な)- smartly dressed, dressed nicely, dressed meticulously",en,"smartly dressed, stylish, fashion-conscious",,,,
しゃしん,…わ と いう 有名な しゃしん か が います。,名詞,,en,Photo,,,,,,
かくち,…東京 マラソン は、 せかい かくち から ランナー が 参加…,名詞,,en,各地 every place,,,,,,
せかい,…の 東京 マラソン は、 せかい かくち から ランナー が…,名詞,,en,"n. (Kanji=世界) world, society, universe",,,,,,
今回,今回 の 東京 マラソン は、…,名詞,,en,"(こんかい) this time, on this occasion, on this opportunity, now, lately",,,,,,
見えません,つかれて いる よう に 見えません ね。,,,en,I can not see,,,,,,
つかれて,つかれて いる よう に 見えません…,,,en,疲れる (つかれる) 1: to get tired; to tire; 2: to be worn out (e.g. of well used objects); 3: (Archaism) to starve,,,,,,
おわりました,…42 k を 走り おわりました。,,,en,polite past form of おわる (終わる): to end; to come to an end; to close; to finish,,,,,,
ぶじに,最後 まで ぶじに 走れる と いい です…,形容詞,ぶじだ,en,無事に adv. 1. safely; peacefully; quietly; without problems​,en,無事に adv. 1. safely; peacefully; quietly; without problems,,,,
くれました,…の ように 説明 して くれました。,,,en,"give, let one have; be given; for me",,,,,,
ふって,…顔 で 手 を ふって くれました。,動詞,ふる,en,"futte - (Kanji=振る) wave, shake, swing, waggle, move back and forth,",,,,,,
手,…街 の 真ん中 で 手 を つないで 空 を…,名詞,,en,"n.  (Hira=て) hand, help; worker; trick; skill;",,,,,,
顔,え 顔 で 手 を ふって…,名詞,,en,"(Hira=かお) face, appearance",,,,,,
やっと,…メートル の ばしょ で やっと なっちゃん を 見つけました。,副詞,,en,at last,,,,,,
見つかりません,…なっちゃん を 待ちました が 見つかりません でした。,,,en,見つかる みつかる to be found; to be discovered,,,,,,
待ちました,…ばしょ で なっちゃん を 待ちました が 見つかりません でした。,,,en,I waited,,,,,,
キロ メートル,8 キロ メートル の ばしょ で なっちゃん…,,,en,Kilometers,,,,,,
メートル,今 から 42 キロ メートル を 走り はじめる ところ…,名詞,,en,"n.  meter, basic unit of length in the metric system, one hundred centimeters, 39.37 inches",,,,,,
キロ,今 から 42 キロ メートル を 走り はじめる…,名詞,,en,"kilogram, kilometer",,,,,,
ばしょ,8 キロ メートル の ばしょ で なっちゃん を 待ちました…,名詞,,en,n.  (Kanji=場所) place,,,,,,
なっちゃん,じつは、 友だち の なっちゃん が 参加 しました。,,,en,Nacchan,,,,,,
大変です,…なっちゃん を 見つける は、 大変です。,形容詞,大変だ,en,"adj.  (Hira=たいへんな) awful, terrible, dreadful, horrible; hard, difficult",,,,,,
見つける,…いる ので なっちゃん を 見つける は、 大変です。,動詞,,en,"v. (Hira=みつける) find out, discover, gain knowledge; locate, sight",,,,,,
楽しみです,楽しみです。,形容詞,楽しみだ,en,"【たのしみ】 (adj-na,n) (1) enjoyment; pleasure; diversion; amusement; hobby; (2) (See 楽しみにする) anticipation; looking forward to;",,,,,,
走れる,最後 まで ぶじに 走れる と いい です ね。,動詞,,en,（はしる） 1: to run; 2: to travel (movement of vehicles); 3: to hurry to; 4: to retreat (from battle); to take flight; 5: to run away from home; 6: to elope; 7: to tend heavily toward,,,,,,
最後,最後 まで ぶじに 走れる と…,名詞,,en,adj.  (Hira=さいご) last,en,"adj.  (Hira=さいご) last, final, ultimate",,,,
はじめる,…キロ メートル を 走り はじめる ところ です。,動詞,,en,"to start, begin",,,,,,
走り,…42 キロ メートル を 走り はじめる ところ です。,動詞,走る,en,"n.  (Hira=はしり) running, act of jogging or moving quickly;",,,,,,
じょう,…で、 いろいろなたいかい に 出 じょう して います。,名詞,,en,pill/tablet,,,,,,
出,…しゅみ で、 いろいろなたいかい に 出 じょう して います。,動詞,出す,en,to go out,,,,,,
いろいろなたいかい,マラソン が しゅみ で、 いろいろなたいかい に 出 じょう して…,,,en,various kinds,,,,,,
しゅみ,マラソン が しゅみ で、 いろいろなたいかい に 出…,名詞,,en,Hobby,,,,,,
しました,…の クラス で 勉強 しました。,,,en,I did,,,,,,
参加,…友だち の なっちゃん が 参加 しました。,名詞,,es,Participation,,,,,,
じつは,じつは、 友だち の なっちゃん が…,副詞,,en,"adv.  (Kanji=実は) as a matter of fact, in fact, to tell the truth",,,,,,
目,…です が、 両親 の 目 から 見る と いつまでも…,名詞,,en,"(Hira=め) eye,",,,,,,
回,…は、 今年 で 10 回 目 に なりました。,名詞,,en,[Kai]  (Hira=かい) number of times identifier,,,,,,
今年,…年 に 始まったたいかい は、 今年 で 10 回 目…,名詞,,en,"n.  (Hira=ことし) this year, the present year, during this year",,,,,,
始まったたいかい,2007 年 に 始まったたいかい は、 今年 で 10…,,,en,it started,,,,,,
年,…なる に は、 普通 １０ 年 の 修行 が 必要…,名詞,,en,year(s),en,(toshi) counter of years,,,,
行わ,昨日、 東京 マラソン が 行わ れました。,動詞,行う,en,v. (Hira=おこなわれる) to be done; to be practiced; to be practised; to take place; to be held; to be prevalent; to be in fashion; to be in vogue; to be current; to come into use,,,,,,
マラソン,昨日、 東京 マラソン が 行わ れました。,名詞,,en,Marathon,,,,,,
東京,東京 マラソン...( n4) TOKYO Marathon,名詞,,en,Tokyo　とうきょう,,,,,,
屋,…たけん の 有名な ラーメン 屋「 龍 上海 りゅうし ゃん…,名詞,,en,shop や,en,"(や) Shop, somebody who sells (something). 本屋 = Shop who sells books",en,や (something) shop​; somebody who sells (something) or works as (something)​; somebody with a (certain) personality trait​; house; roof​,,
たくさん,マイク は たくさん の 友好的 な 人たち…,副詞,,en,"adv.  (Kanji=沢山) much, a great deal",,,,,,
も,クオン さん も 手伝って ください。,助詞,,en,too; also; in addition; as well; (not) either (in a negative sentence) [particle]  mo,,,,,,
ヨーロッパ,あと ヨーロッパ、 イギリス と ヨーロッパ の…,名詞,,en,"n. (Kanji=欧羅巴) Europe, one of the seven continents",,,,,,
スープ,…味 の のうこうな な スープ が、 パスタ の カルボナーラ…,名詞,,en,soup,,,,,,
のうこうな,…ん こつ 味 の のうこうな な スープ が、 パスタ…,形容詞,のうこうだ,en,No way,,,,,,
こつ,と ん こつ 味 の のうこうな な…,名詞,,en,"n. (Kanji=骨) knack, adroitness, talent, flair, aptitude, forte",,,,,,
店,その お 店 は どこ です か?…,名詞,,en,shop　みせ,en,"みせ shop, store",en,"n. (Hira=みせ) shop, store; establishment; number of stores identifier",en,store
ある,…を 出す こと が ある、 と いう こと を…,連体詞,,en,aru: there is/are; to exist,en,"dict. form of ある（在る to exist | 有る to possess ）
1. to be (usu. of inanimate objects), to exist;  to live (Usually written using kana alone.) / 
2. to have / 
3. to be located / 
4. to be equipped with / 
5. to happen, to come about.",,,,
人気,イタリア で 人気 が ある お 店…,名詞,,en,Popularity,,,,,,
イタリア,イタリア 人 の シェフ が…,名詞,,en,Italy,,,,,,
なかなか,めん が 太い ので なかなか さめ ない ん です。,副詞,,en,Adverb ~ なかなか not at all; hardly,,,,,,
とくちょう,…が 太い の が とくちょう です。,名詞,,en,feature; trait; characteristic;,,,,,,
太い,…味 で めん が 太い の が とくちょう です。,形容詞,,en,"ふとい - fat, thick",,,,,,
めん,しょう油 味 で めん が 太い の が…,名詞,,en,麺 めん noodles,,,,,,
味,しょう油 味 で めん が 太い…,名詞,,en,"あじ flavor, taste",,,,,,
しょう油,しょう油 味 で めん が…,名詞,,en,Soy sauce,,,,,,
たてもの,…写真 の ようです が たてもの の 中 の 写真…,名詞,,en,Building,,,,,,
まちなみ,…年 代 の 古い まちなみ を 再現 して あります。,名詞,,en,"みちなみ　streets of houses, and stuff",,,,,,
ようです,外 の 写真 の ようです が たてもの の 中…,助動詞,ようだ,en,"ような adj. (Kanji=様な) like, such as, as an example of",,,,,,
あります,…か お 休み が あります。,,,en,"to have, is there inanimte polite",,,,,,
全部,全部 で 8 つ の…,副詞,,en,all; entire; whole,,,,,,
食べられます,…でも 美味しい ラーメン が 食べられます。,,,en,to be able to eat,,,,,,
美味しい,どの 店 でも 美味しい ラーメン が 食べられます。,形容詞,,en,(Hira=おいしい) delicious,,,,,,
見て,素人 から 見て も、3 つ も 頭…,動詞,見る,en,みて to see,,,,,,
どの,どの 店 でも 美味しい ラーメン…,指示詞,,en,Which,,,,,,
みる,よく 見て みる と 小さな ラーメン 屋…,動詞,,en,見る to see; to look; to watch; to view; to observe,,,,,,
並んで,…小さな ラーメン 屋 が 並んで います。,動詞,並ぶ,en,"【ならぶ】 (v5b,vi) (1) to line up",,,,,,
入りました,…ゃん は い」 へ 入りました。,,,en,It has entered,,,,,,
へ,ところが、 先生 の お宅 へ 行った 時、 先生 の…,助詞,,en,to (indicates direction or goal); sorrounding area,en,to (indicates direction or goal),,,,
ゃん,…屋「 龍 上海 りゅうし ゃん は い」 へ 入りました。,感動詞,,en,Nyan,,,,,,
りゅうし,…ラーメン 屋「 龍 上海 りゅうし ゃん は い」 へ…,名詞,,en,Ryu,,,,,,
龍,…の 有名な ラーメン 屋「 龍 上海 りゅうし ゃん は…,名詞,,en,りゅう - dragon (esp. a Chinese dragon),,,,,,
有名な,…やま が たけん の 有名な ラーメン 屋「 龍 上海…,形容詞,有名だ,en,"adj.  (Hira=ゆうめいな) famous, illustrious, renowned",,,,,,
たけん,寒い ので やま が たけん の 有名な ラーメン 屋「…,名詞,,en,他県: another prefecture; other prefectures,,,,,,
やま,寒い ので やま が たけん の 有名な…,名詞,,en,"(Alt=さん, Kanji=山) mountain,",,,,,,
寒い,寒い ので やま が たけん…,形容詞,,en,"adj.  (Hira=さむい) cold, chilly, low temperature, frigidity",,,,,,
外,外 の 写真 の ようです…,名詞,,en,n.  (Hira=そと) outside / ほか,,,,,,
はくぶつ,…と 言って も 本当の はくぶつ 館 じゃ ありません。,名詞,,en,Natural history,,,,,,
本当の,…館 と 言って も 本当の はくぶつ 館 じゃ ありません。,形容詞,本当だ,en,"(Hira=ほんとうの) true, real",,,,,,
はま,…が わけ ん よこ はま に ある「 ラーメン はくぶつ…,名詞,,en,"Kanji=浜) beach, seashore, shore",,,,,,
よこ,かな が わけ ん よこ はま に ある「 ラーメン…,名詞,,en,beside; aside; next to;,,,,,,
わけ,かな が わけ ん よこ はま に…,助動詞,わけだ,en,"conclusion from reasoning, judgement or calculation based on something read or heard; reason; cause; meaning; circumstances; situation​",,,,,,
かな,かな が わけ ん よこ…,名詞,,en,Wonder,,,,,,
ため息,…挑戦 から 生まれた 傑作 ため息 が 出る ほど カワイイ「…,名詞,,en,sigh,,,,,,
真ん中,…もし あの 街 の 真ん中 で 手 を つないで…,名詞,,en,"n. (Hira=まんなか) middle, centre, center, midst",,,,,,
思い出,中学生 の こと の 思い出,名詞,,en,"n. (Hira=おもいで) memories, remembrance,",,,,,,
お茶,…人 は 何も 言わないで お茶 や ケーキ を 出す…,名詞,,en,"green tea, tea",,,,,,
と,…明日 の 朝、 市役所 と 銀行 に 行って から、…,助詞,,en,"if; when; and; with; particle used for quoting (with speech, thoughts, etc.); quoting particle​",,,,,,
勤めて,…会社 の ほう に 勤めて い ら した んです…,動詞,勤める,en,"v.  (Hira=つとめる) serve, work; exert oneself, endeavor; be diligent; play",,,,,,
貿易,…今 まで は 主に 貿易 会社 の ほう に…,名詞,,en,Trade,,,,,,
主に,…その後、 今 まで は 主に 貿易 会社 の ほう…,形容詞,主だ,en,"mainly, primarily, chiefly, principally",,,,,,
修士,F: 修士 です。,名詞,,en,master's degree program,,,,,,
なん,…の 勉強 の、 その なん と いい ます か、…,名詞,,en,what,,,,,,
ほう,…UBC の 本館 の ほう で 農業 経済 です…,感動詞,,en,"1. direction; way; side; area (in a particular direction)
2. side (of an argument, etc.); one's part
3. type; category
4. field (of study, etc.)
5. indicates one side of a comparison
6. way; method; manner; means
7. length (of each side of a square)",,,,,,
経済,…の ほう で 農業 経済 です ね、,名詞,,en,economy,,,,,,
農業,…本館 の ほう で 農業 経済 です ね、,名詞,,en,agriculture,,,,,,
で,銀行 で 口座 を 開きます,接続詞,,en,indicates location/time/means of action; at; in; by,,,,,,
本館,…あと は UBC の 本館 の ほう で 農業…,名詞,,en,"main building, most important building",,,,,,
カナダ,…ね、 ふみこ さん の、 カナダ へ 来て、 英語 の…,名詞,,en,Canada,,,,,,
前回,S: あの ー、 前回 は です ね、 ふみこ…,名詞,,en,last time,,,,,,
そういう,…ある よ、 と か、 そういう 日ごろ の 暮らし の…,指示詞,,en,"(Kanji=然ういう) such, like that, very, similar to that",,,,,,
られる,…の 中 で 見 られる ような こと に ついて…,接尾辞,,en,rareru: aux. positive auxiliary word: can,,,,,,
ような,…中 で 見 られる ような こと に ついて お…,助動詞,ようだ,en,"such as, similar to, like that",,,,,,
ましょう,…に ついて お 話し ましょう か。,接尾辞,ます,en,let's,,,,,,
は,彼 は 都合 が 悪い と 言って いる が 、 それ は 口実 で しか ない 。,,,en,topic marker particle,,,,,,
あんまり,…日本 の こと を あんまり よく 知ら ない 外国…,副詞,,en,too much; excessively; overly,,,,,,
知ら,…こと を あんまり よく 知ら ない 外国 の 人…,知る,動詞,en,知る 【しる】 to know; to understand; to be acquainted with; to feel;,,,,,,
上がり,…月 から 小学校 に 上がり ます ね。,動詞,上がる,en,"上がる v. (Hira=あがる) rise, go up, climb up; advance; be promoted, absorb; be finished",,,,,,
死ぬ,どんな 素晴らしい 人 でも 死ぬ とき は 一 人…,動詞,,en,die,,,,,,
大きく,人 が はいれる ほど 大きく なかった。,形容詞,大きい,en,"おおきく - in a big way, on a grand scale",,,,,,
はいれる,人 が はいれる ほど 大きく なかった。,動詞,,en,Capable of seating,,,,,,
人,お 二 人 に お 会い できて…,名詞,,en,"man, person, human being, mankind, people",,,,,,
すきま,…岩 の ほんの 小さな すきま で しか なかった。,名詞,,en,隙間 すきま	crevice; crack; gap; opening,,,,,,
小さな,…黒い 岩 の ほんの 小さな すきま で しか なかった。,連体詞,,en,"adj.  (Hira=ちいさな) small, tiny, little, pocket size",,,,,,
ほんの,…は、 黒い 岩 の ほんの 小さな すきま で しか…,連体詞,,en,only,,,,,,
岩,窓 は、 黒い 岩 の ほんの 小さな すきま…,名詞,,en,"rock, stone",,,,,,
窓,窓 は、 黒い 岩 の…,名詞,,en,window,,,,,,
いつまでも,…目 から 見る と いつまでも 子供 で しか ない。,副詞,,en,"いつまでも adv. eternally, without end, forever; constantly",,,,,,
見る,…両親 の 目 から 見る と いつまでも 子供 で…,動詞,,en,(Hira=みる) see,,,,,,
両親,…は 社長 です が、 両親 の 目 から 見る…,名詞,,en,"n.  (Hira=りょうしん) parents, both parents",,,,,,
口実,…いる が、 それ は 口実 で しか ない。,名詞,,en,こうじつ excuse,,,,,,
悪い,彼 は 都合 が 悪い と 言って いる が、…,形容詞,,en,"(Hira=わるい) bad, wrong; hateful, detestable, loathsome; inferior",,,,,,
都合,彼 は 都合 が 悪い と 言って…,副詞,,en,circumstances; condition; convenience,,,,,,
見,…たくさん の コンピューター を 見 ます。,動詞,見る,en,"みる (v1,vt,uk) to see; to look; to watch;",,,,,,
話し合おう,もう 一 度 話し合おう で は ない か。,動詞,話し合う,en,はなしあう to discuss; to talk together,,,,,,
もう,…するって いう の は、 もう お 金 が ない…,副詞,,en,"Mo-o - another (adj.), already, more, again (adv.)",,,,,,
やろう,…やる の か、 教えて やろう じゃ ない か。,動詞,やる,en,let's do,,,,,,
やる,どう やる の か、 教えて やろう…,動詞,,en,[yaru]  (Kanji=遣る) do;,,,,,,
では,…に ついて、 真剣に 考えよう では ありません か。,接続詞,,en,"interj.  then; well, so; alright; O.K.",,,,,,
考えよう,…問題 に ついて、 真剣に 考えよう では ありません か。,考える,動詞,en,"n. (Hira=かんがえ) thinking, thought, act of forming ideas, act of conceiving in the mind, idea",,,,,,
真剣に,…の 問題 に ついて、 真剣に 考えよう では ありません か。,形容詞,真剣だ,en,seriously,,,,,,
汚染,環境 汚染 の 問題 に ついて、…,名詞,,en,"(Hira=おせん) pollution, contamination, something which contaminates  (Hira=おせんする) contaminate, pollute, make impure",,,,,,
環境,環境 汚染 の 問題 に…,名詞,,en,"かんきょう environment,",,,,,,
ようじゃ,さて、 お茶 に し ようじゃ ない か。,助動詞,ようだ,en,Seems like,,,,,,
じゃ,…でも 見 に 行こう じゃ ない か。,感動詞,,en,"Well, therefore, then (like dewa)",,,,,,
いないで,家 に ばかり いないで 映画 でも 見 に…,,,en,Not,,,,,,
ばかり,家 に ばかり いないで 映画 でも 見…,助動詞,ばかりだ,en,"adv.  approximately, nearly; just, only, merely",,,,,,
家,…金 を 貯 め、 家 に いる こと に…,名詞,,en,"[Ie] (Hira=いえ,うち,け) house, home,",,,,,,
つくろう,ともに 新しい 世界 を つくろう で は ない か。,動詞,つくる,en,to mend; to repair; to fix; to patch up; to darn; to tidy up; to adjust; to trim,,,,,,
ともに,ともに 新しい 世界 を つくろう…,副詞,,en,together with　～と共に,,,,,,
語,…に ダスティン は フランス 語 が 話せません。,名詞,,en,"(Hira=ご) language, body of spoken or written words with which people communicate",,,,,,
頑張ろう,…に つける ため に 頑張ろう で は ない か。,動詞,頑張る,en,"v. (Hira=がんばる) persist, hold out, insist on, stand firm",,,,,,
だいがく,わたし は だいがく の と しょかん で…,名詞,,en,daigaku - university (Kanji=大学),,,,,,
だけ,あの カップル は 男の子 だけ い ます が、 私…,助詞,,en,only,,,,,,
そこ,彼女 は そこ で の 音楽 フェスティバル…,指示詞,,en,n.  that place,,,,,,
その,…ます が、 実は、 あまり その こと を 知り ませ…,指示詞,,en,That,,,,,,
たく,…が、 一生懸命 は 働き たく ない です。,たい,接尾辞,en,たくない to not want,,,,,,
だったり,それ が 本 だったり、 映画 だったり、 オーディオ ブック…,だ,判定詞,en,たり form of for nouns and na-adjectives?,,,,,,
取れ,…来て、 じゃがいも が あまり 取れ ませ ん でした。,動詞,取れる,en,"v.  (Hira=とる) take, pick up, hull, seize, get, gain, acquire",,,,,,
じゃがいも,…たくさんの 台風 が 来て、 じゃがいも が あまり 取れ ませ…,名詞,,en,potato,,,,,,
台風,去年、 北海道 に たくさんの 台風 が 来て、 じゃがいも が…,名詞,,en,"n.  (Hira=たいふう) typhoon, tropical cyclone or hurricane in the region of the western Pacific Ocean and the China seas, violent storm in India",,,,,,
北海道,去年、 北海道 に たくさんの 台風 が…,名詞,,en,ほっかいどう 	Hokkaido (northernmost of the four main islands of Japan),,,,,,
研究,…理由（3） シニア 生活 文化 研究 所 所長 小谷 みどり…,名詞,,en,"study, research",,,,,,
文化,…学ぶ 理由（3） シニア 生活 文化 研究 所 所長 小谷…,名詞,,en,culture,,,,,,
シニア,…死 を 学ぶ 理由（3） シニア 生活 文化 研究 所…,名詞,,en,"n. senior, student in his final year at a school or university; person of higher rank; older person, elder; senior citizen",,,,,,
学ぶ,…最終 楽章・ 死 を 学ぶ 理由（3） シニア 生活 文化…,動詞,,en,"(Hira=まなぶ) learn, acquire knowledge; realize; be aware; discover; acquire; memor",,,,,,
死,それぞれ の 最終 楽章・ 死 を 学ぶ 理由（3） シニア…,名詞,,en,death,,,,,,
楽章,それぞれ の 最終 楽章・ 死 を 学ぶ 理由（3）…,名詞,,en,"n. (Hira=がくしょう) movement, musical piece",,,,,,
最終,それぞれ の 最終 楽章・ 死 を 学ぶ…,名詞,,en,"last, final",,,,,,
それぞれ,それぞれ の 最終 楽章・ 死…,副詞,,en,Each,,,,,,
小,いや、 実 は さっき 小 耳 に 挟んだ ん…,名詞,,en,small,,,,,,
耳,…実 は さっき 小 耳 に 挟んだ ん だ…,名詞,,zh-tw,ear; hearing; edge,,,,,,
実,いや、 実 は さっき 小 耳…,名詞,,en,actually,,,,,,
いや,いや、 実 は さっき 小…,感動詞,,en,no (disagree),,,,,,
辞める,高橋 さん が 会社 辞める 話？,動詞,,en,"retire, resign",,,,,,
高橋,高橋 さん が 会社 辞める…,名詞,,en,"高橋 たかはし	Takahashi (place, family name)",,,,,,
聞いちゃった,すっごい 話、 聞いちゃった。,,,en,I heard,,,,,,
すっごい,すっごい 話、 聞いちゃった。,,,en,terrible; amazing,,,,,,
うわさ 話,【 うわさ 話】 ねぇ ねぇ、 聞いて 聞いて。,,,en,(うわさばなし) gossip,,,,,,
うわさ,【 うわさ 話】 ねぇ ねぇ、 聞いて…,名詞,,en,Rumor,,,,,,
開けて,じゃあ、 開けて くださる？,動詞,開ける,en,Open,,,,,,
飲もう,ねえ ねえ、 ワイン も 飲もう か。,動詞,飲む,en,Let's drink,,,,,,
ねえ,ねえ ねえ、 ワイン も 飲もう か。,感動詞,,en,"interj. look, look at that",,,,,,
こよう,温めて こよう か。,名詞,,en,"n. (Kanji=孤) loneliness, solitude, remoteness",,,,,,
温めて,温めて こよう か。,動詞,温める,en,to warm; to heat,,,,,,
くれる,…の 料理、 ちょっと 取り分けて くれる。,動詞,,en,be given,,,,,,
取り分けて,そこ の 料理、 ちょっと 取り分けて くれる。,動詞,取り分ける,en,とりわける　to distribute; to apportion; to divide​,,,,,,
ちょっと,そこ の 料理、 ちょっと 取り分けて くれる。,副詞,,en,"just, at this moment",,,,,,
上手,…は 本当に 料理 が 上手 だ ね。,形容詞,上手だ,en,Proficient,,,,,,
料理,マイク は レストラン で 料理 を して います。,名詞,,en,"cooking / cuisine, to handle",,,,,,
本当に,君 は 本当に 料理 が 上手 だ…,形容詞,本当だ,en,"(Hira: ほんとう - に) Really, truly, sincerely",,,,,,
もらった,…うん、 お母さん に 教えて もらった レシピ で 作って いる…,動詞,もらう,en,"received, もらうfrom  (Kanji=貰う) receive, get",,,,,,
うん,う うん、 お母さん に 教えて もらった…,感動詞,,en,yep,,,,,,
レシピ,レシピ は 自分 で 考えた…,名詞,,en,Recipe,,,,,,
おいしそう,へえ、 おいしそう だ ね。,,,en,looks delicious,,,,,,
どう,…みた ん だ けど、 どう かしら。,指示詞,,en,How about?/How was?,,,,,,
かしら,…ん だ けど、 どう かしら。,名詞,,en,"[Kashira] かしら may, I wonder (for female); kana -- male",,,,,,
だ,…を 作って みた ん だ けど、 どう かしら。,名詞,,en,be; is,,,,,,
みた,…南蛮 漬け を 作って みた ん だ けど、 どう…,動詞,みる,en,"v. (Kanji=見る) to see, try",,,,,,
作って,…の 南蛮 漬け を 作って みた ん だ けど、…,動詞,作る,en,"v. (Alt=造る, Hira=つくる) make, create, manufacture, fabricate; prepare; draw up, write; compose; build; coin; cultivate; organize, establish; make up, model",,,,,,
漬け,さっき アジ の 南蛮 漬け を 作って みた ん…,動詞,漬ける,en,overflow; pickled,,,,,,
南蛮,さっき アジ の 南蛮 漬け を 作って みた…,名詞,,en,. (Hira=なんばん) southern Barbarians; red pepper,,,,,,
さっき,さっき アジ の 南蛮 漬け…,副詞,,en,A little while ago,,,,,,
夕飯,今日 の 夕飯、 何 に する の？,名詞,,en,ゆうはん evening meal,,,,,,
ダイニング,【 ダイニング で】,名詞,,en,dining room,,,,,,
さて,さて、 マリア の 友達、 ポール…,接続詞,,en,Now,,,,,,
でしょう,…する 前 に 出る でしょう。,助動詞,だろう,en,"deshou polite form of darou. As sentence ending: (I) think, (I) guess,",,,,,,
出る,…終了 する 前 に 出る でしょう。,動詞,,en,"v. (Hira=でる) appear, come forth; leave, depart",,,,,,
前,…バス が 終了 する 前 に 出る でしょう。,接頭辞,,en,"まえ, さき (n,adj-no,n-suf,pref) previous; prior; former; some time ago;",,,,,,
ら,彼 ら は そこ で の…,接尾辞,,en,"等 【ら】 (suf) (1) pluralizing suffix (often humble, derogatory or familiar); and others; and the like; and followers (2) (See あちら, いくら) or so (rough indicator of direction, location, amount, etc) (3) (after the stem of an adjective) nominalizing suffix",,,,,,
次回,次回、 彼女 は バス が…,名詞,,en,next time,,,,,,
思えます,…と 動いて いる ように 思えます。,,,en,"v.  (Hira=おもえる) seem, appear likely, look like",,,,,,
動いて,とても ゆっくり と 動いて いる ように 思えます。,動詞,動く,en,"動く v. (Hira=うごく) move, shift, stir, shake, swing, waver, fluctuate, operate, run, work, be influenced, vary, change, be transferred, budge",,,,,,
ゆっくり,とても ゆっくり と 動いて いる ように…,副詞,,en,slowly,,,,,,
くる,…に 車 が 近づいて くる 様子 を 見ました。,動詞,くるむ,en,"(Kanji=来る) come, arrive; be due; become",,,,,,
見ました,…近づいて くる 様子 を 見ました。,,,en,watched (見る = みる see),,,,,,
