term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,meaninglanguage1,meaning1,meaninglanguage2,meaning2,meaninglanguage3,meaning3,meaninglanguage4,meaning4,meaninglanguage5,meaning5
estatales,…privados como las empresas estatales chinas están invirtiendo,Adjective,adjetivo,,,,,,,,,,,,,,,,,,,en,state,en,"estatal adj. state, governmental; state owned",en,"adj. state, governmental; state owned (pl)",,,,
este,…Océano Pacífico y al este con el Mar de…,Pronoun,Noun,pronombre,sustantivo,,,,,,,,,,,,,,,,,,,,,,,,,,
éste,"…sobre el gato, mientras éste descansa o duerme.",Pronoun,Noun,,,,,,,,,,,,,,,,,,,en,this,,,,,,,,
estilo,que llevar pantalones del estilo occidental tenían que llevar,Verb,yo,presente,estilar,estilarse,Adjective,Noun,,,,,,,,,,,,,,en,style,,,,,,,,
estire,"…que tu piel se estire y se arrugue, para…",Verb,él/ella/ud.,imperativo,subjuntivo presente,estirar,estirarse,imperativo,verbo,subjuntivo presente,estirar,él/ella/ud.,estirarse,,,,,,,,,en,stretch,,,,,,,,
estiró,"Extendió y estiró los pétalos hacia arriba,…",Verb,pretérito perfecto simple,él/ella/ud.,estirar,estirarse,Noun,verb,noun,pretérito perfecto simple,estirar,él/ella/ud.,estirarse,,,,,,,,,en,stretched,,,,,,,,
estofado,…Jack un poco de estofado de vegetales.,Verb,yo,pretérito perfecto compuesto,estofar,Noun,verb,noun,yo,pretérito perfecto compuesto,estofar,,,,,,,,,,,en,stew,,,,,,,,
estómagos,nuestros estómagos convierten ese alimento en…,,,,,,,,,,,,,,,,,,,,,en,stomachs,,,,,,,,
estos,…para reunirse porque durante estos primeros siglos eran en…,Pronoun,Noun,,,,,,,,,,,,,,,,,,,en,these,,,,,,,,
estrecha,…y que mantiene una estrecha,Verb,él/ella/ud.,presente,estrechar,estrecharse,Adjective,adjetivo,verbo,presente,él/ella/ud.,estrecharse,estrechar,,,,,,,,,en,"adj. narrow, tight",,,,,,,,
estrecho,…muy largo y muy estrecho.,Verb,yo,presente,estrechar,estrecharse,Adjective,Noun,verb,noun,adjective,presente,yo,estrecharse,estrechar,,,,,,,en,narrow,,,,,,,,
estrellas,"constrictor, elefantes o de estrellas",Verb,presente,tú,estrellar,estrellarse,Noun,,,,,,,,,,,,,,,en,"[n,F,pl] star; self-illuminating gaseous celestial body,",,,,,,,,
estrelló,Se estrelló tu avión,Verb,pretérito perfecto simple,él/ella/ud.,estrellar,estrellarse,,,,,,,,,,,,,,,,en,(he/she/you/it) crashed,,,,,,,,
estricto,…pero él es muy estricto.,Adjective,adjective,,,,,,,,,,,,,,,,,,,en,adj. strict; severe,,,,,,,,
estrofas,"…poema está compuesto por estrofas( los“ párrafos” del poema),…",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,"verses, stanzas",,,,,,,,
estructura,…seis patas y su estructura corporal se adapta para…,Verb,él/ella/ud.,presente,estructurar,estructurarse,Noun,verbo,presente,estructurar,él/ella/ud.,estructurarse,,,,,,,,,,en,"structure, frame; build; arrangement; plot; fabric; makeup",,,,,,,,
estructuras,…la transformación de las estructuras,Verb,presente,tú,estructurar,estructurarse,Noun,verb,noun,tú,presente,estructurar,estructurarse,,,,,,,,,en,structures,,,,,,,,
estudiando,Jennifer: Estaba estudiando el último año de…,Verb,gerundio,estudiar,Adjective,gerundio,verbo,estudiar,,,,,,,,,,,,,,en,studying,,,,,,,,
estuvieran,…como si las sílabas estuvieran hechas de hojalata y…,Verb,ellos/ellas/uds.,subjuntivo pretérito imperfecto,estar,estarse,estar,verbo,ellos/ellas/uds.,estarse,subjuntivo pretérito imperfecto,,,,,,,,,,,en,they were (subjuntive),,,,,,,,
estuvieron,"…fiesta, los dos embaucadores estuvieron levantados, con dieciséis lámparas…",Verb,pretérito perfecto simple,ellos/ellas/uds.,estar,estarse,estar,verbo,pretérito perfecto simple,ellos/ellas/uds.,estarse,,,,,,,,,,,en,They were (preterite - to be),,,,,,,,
etapa,"La extracción, primera etapa en la cadena de…",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,"n. stage, phase",,,,,,,,
etapas,moral ocurre en seis etapas las etapas,Noun,noun,,,,,,,,,,,,,,,,,,,en,stages,,,,,,,,
etimológico,El origen etimológico de la palabra tapa…,,,,,,,,,,,,,,,,,,,,,en,etymological; study of origin and grammatical derivation of words,,,,,,,,
evitado,…pero esto no ha evitado que,Verb,yo,pretérito perfecto compuesto,evitar,evitarse,verbo,yo,pretérito perfecto compuesto,evitar,evitarse,,,,,,,,,,,en,"v. avoid, evade; obviate, prevent; shirk; preclude; save",,,,,,,,
evitando,"…mantienen ocupados y entretenidos, evitando los malos hábitos.",Verb,gerundio,evitar,gerundio,verbo,evitar,,,,,,,,,,,,,,,en,avoiding,,,,,,,,
evitar,…cuerpo de químicos para evitar que tu piel se…,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,avoid,,,,,,,,
excelencia,…es la fiesta por excelencia del fuego... es una…,Noun,,,,,,,,,,,,,,,,,,,,en,"excellence, superiority",,,,,,,,
excluimos,supone si excluimos las partidas de I+…,Verb,presente,nosotros,excluir,excluirse,verbo,excluir,nosotros,presente,excluirse,,,,,,,,,,,en,exclude,,,,,,,,
excrementos,Los excrementos de los ácaros y…,Noun,,,,,,,,,,,,,,,,,,,,en,excrement,,,,,,,,
exhibir,Hemos elegido exhibir estas tallas en honor…,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,to exhibit,,,,,,,,
exhibiremos,"Rico, donde exhibiremos tallas en madera creadas…",Verb,nosotros,futuro,exhibir,exhibirse,verbo,nosotros,futuro,exhibirse,exhibir,,,,,,,,,,,en,we will exhibit,,,,,,,,
exigía,"Sin embargo, Phileas Fogg exigía de su único criado…",Verb,yo,indicativo pretérito imperfecto,exigir,verb,exigir,yo,indicativo pretérito imperfecto,,,,,,,,,,,,,en,"v. exact, demand, require; levy; need, necessitate; beg",,,,,,,,
exilio,Dispuesto a arriesgar el exilio por tu esfuerzo. Muestra…,Verb,yo,presente,exiliar,exiliarse,Noun,verb,noun,presente,yo,exiliar,exiliarse,,,,,,,,,en,"exiliar v. exile, be banished; expel, banish",,,,,,,,
existido,…fin de cuentas haber existido para demostrarme y explicarme…,Verb,yo,pretérito perfecto compuesto,existir,verbo,yo,existir,pretérito perfecto compuesto,,,,,,,,,,,,,en,existed,,,,,,,,
expectativas,por las altísimas expectativas en torno al más…,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,expectations,,,,,,,,
expíe,…sea la muerte quien expíe tus pecados.,Verb,él/ella/ud.,imperativo,expiar,verb,imperativo,él/ella/ud.,expiar,,,,,,,,,,,,,en,it expiates,,,,,,,,
explicarme,…existido para demostrarme y explicarme que yo era un…,,,,,,,,,,,,,,,,,,,,,en,"Explain to me,  explicar - to explain",,,,,,,,
explicarse,Harry intentó explicarse una vez más.,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,v. explain,,,,,,,,
explicárselo,…antes de que pudiese explicárselo.,,,,,,,,,,,,,,,,,,,,,en,To explain it,,,,,,,,
explosivos,"…y... todo tipo de explosivos legales,¿ no?",Noun,,,,,,,,,,,,,,,,,,,,en,Explosives,,,,,,,,
exponer,"Mario,¿ puedes exponer tu informe?",Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to present,,,,,,,,
expresar,hablar de... expresar opiniones y... y cosas…,Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,"express, utter, voice",,,,,,,,
extendía,Cada día Hansel extendía la ramita.,Verb,yo,indicativo pretérito imperfecto,extender,extenderse,verb,yo,extender,extenderse,indicativo pretérito imperfecto,,,,,,,,,,,en,extended,,,,,,,,
extiende,…km 2 que se extiende sobre las provincias de…,Verb,él/ella/ud.,presente,extender,extenderse,verbo,presente,él/ella/ud.,extender,extenderse,,,,,,,,,,,en,extender,,,,,,,,
extranjero,"…comillas en un idioma extranjero,¿ no?",Adjective,Noun,,,,,,,,,,,,,,,,,,,en,foreign,,,,,,,,
extraño,"…apartamentos, pero no será extraño verlas en gatos que…",Verb,yo,presente,extrañar,extrañarse,Adjective,Noun,verbo,presente,yo,extrañar,extrañarse,,,,,,,,,en,"adj. strange; foreign  v... to long for, miss",,,,,,,,
extraños,manera de conocerse dos extraños que se encuentran en,Adjective,Noun,,,,,,,,,,,,,,,,,,,en,strangers,,,,,,,,
fabricado,fabricado una generación,Verb,yo,pretérito perfecto compuesto,fabricar,verb,yo,pretérito perfecto compuesto,fabricar,,,,,,,,,,,,,en,manufactured,,,,,,,,
facciones,"…una cara varonil, de facciones pronunciadas, pero estaba intensamente…",Verb,tú,subjuntivo presente,faccionar,Noun,verb,noun,tú,subjuntivo presente,faccionar,,,,,,,,,,,en,features,,,,,,,,
facha,Por la facha.,Noun,,,,,,,,,,,,,,,,,,,,en,"a bit of a sight, a bit of a mess",,,,,,,,
fajinas,"…las defensas, manda construir fajinas y parapetos, recorre baluartes…",,,,,,,,,,,,,,,,,,,,,en,cummerbunds,,,,,,,,
fallar,…si el hecho de fallar o procrastinar,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to fail,,,,,,,,
fallarse,…y traidores: Le contraría fallarse de su primer propósito…,,,,,,,,,,,,,,,,,,,,,en,be failed,,,,,,,,
falta,…a la mente que falta otra media naranja verdad?,Verb,él/ella/ud.,presente,faltar,Adverb,Noun,verbo,presente,faltar,él/ella/ud.,,,,,,,,,,,en,lack,,,,,,,,
faltaba,…que notaba que le faltaba algo…,Verb,yo,indicativo pretérito imperfecto,faltar,verb,yo,faltar,indicativo pretérito imperfecto,,,,,,,,,,,,,en,was missing,,,,,,,,
familias,Los hombres de las familias que vivían en San…,Noun,,,,,,,,,,,,,,,,,,,,en,families,,,,,,,,
famosa,"…provincia de Alicante es famosa por algunos productos gastronómicos,…",Adjective,Noun,,,,,,,,,,,,,,,,,,,en,famous,,,,,,,,
famoso,…condición y ejercicio del famoso hidalgo don Quijote de…,Adjective,Noun,sustantivo,adjetivo,,,,,,,,,,,,,,,,,en,famous,,,,,,,,
fantasmas,"fantasmas, brujas…",Adjective,Noun,sustantivo,adjetivo,,,,,,,,,,,,,,,,,en,ghosts,,,,,,,,
fármaco,…para desarrollar un nuevo fármaco y conseguir que sea…,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,"drug, medicine, pharmaceutical",,,,,,,,
farol,…Apagar el farol.,Noun,noun,,,,,,,,,,,,,,,,,,,en,lantern,,,,,,,,
fase,en fase 2 de pruebas.,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,"phase, stage",,,,,,,,
fastidiaba,"…noches la flor le fastidiaba al Principito, le decía…",Verb,yo,indicativo pretérito imperfecto,fastidiar,fastidiarse,verb,yo,fastidiar,fastidiarse,indicativo pretérito imperfecto,,,,,,,,,,,en,bothered,,,,,,,,
favorece,…afirman que el presidente favorece el desarrollismo sobre la…,Verb,él/ella/ud.,presente,favorecer,favorecerse,verbo,presente,favorecer,él/ella/ud.,favorecerse,,,,,,,,,,,en,favorecer: favor,,,,,,,,
fe,…particular expresión de la fe es la más cercana…,Noun,,,,,,,,,,,,,,,,,,,,en,faith,,,,,,,,
feminicidio,"…en Chile, y un feminicidio ocurrido hace más de…",,,,,,,,,,,,,,,,,,,,,en,femicide,,,,,,,,
feria,…la firmará en la feria del libro de terror.¿…,Verb,él/ella/ud.,presente,feriar,feriarse,Noun,sustantivo,verbo,presente,él/ella/ud.,feriarse,feriar,,,,,,,,,en,"n. fair, carnival, show",,,,,,,,
ferrocarril,…que los accidentes de ferrocarril eran raras veces de…,Noun,noun,,,,,,,,,,,,,,,,,,,en,railroad,,,,,,,,
ferroviario,…la noticia del accidente ferroviario y el nombre de…,Adjective,,,,,,,,,,,,,,,,,,,,en,rail,,,,,,,,
fértil,…de San Pedro era fértil.,Adjective,Noun,,,,,,,,,,,,,,,,,,,en,"fertile, rich, rank",,,,,,,,
festivo,"…Cataluña es un día festivo, y ayer, pues celebramos…",Adjective,,,,,,,,,,,,,,,,,,,,en,"festival, holiday",,,,,,,,
fetos,Se observaron 75 fetos chupándose el dedo. Cuando…,,,,,,,,,,,,,,,,,,,,,en,fetuses,,,,,,,,
fidelidad,…la vida amistad y fidelidad inviolable.,Noun,noun,,,,,,,,,,,,,,,,,,,en,"fidelity, faithfulness",,,,,,,,
fiebre,"…garganta. A veces causa fiebre, sobre todo",Noun,noun,,,,,,,,,,,,,,,,,,,en,fever,,,,,,,,
fiera,"…o sea, comiendo una fiera.",Verb,él/ella/ud.,imperativo,ferir,Adjective,Noun,sustantivo,adjetivo,imperativo,verbo,ferir,él/ella/ud.,,,,,,,,,en,wild beast,,,,,,,,
fierros,…turbulenta detrás de los fierros mágicos de Melquíades.,,,,,,,,,,,,,,,,,,,,,en,iron,,,,,,,,
figuraba,Su nombre figuraba,Verb,yo,indicativo pretérito imperfecto,figurar,figurarse,verb,yo,figurar,figurarse,indicativo pretérito imperfecto,,,,,,,,,,,en,it appeared,,,,,,,,
fijado,…y en el comentario fijado.,Verb,yo,pretérito perfecto compuesto,fijar,fijarse,verb,yo,fijar,pretérito perfecto compuesto,fijarse,,,,,,,,,,,en,pinned,,,,,,,,
fijas,"Si te fijas, cuando piensas en media…",Verb,presente,tú,fijar,fijarse,Adjective,tú,verbo,presente,fijar,fijarse,,,,,,,,,,en,fixed,,,,,,,,
fíjate,Principito: Fíjate bien,Verb,imperativo,fijarse,Pronoun,Noun,,,,,,,,,,,,,,,,en,imagine; just look,,,,,,,,
filósofos,pero los filósofos lo ponen en duda.…,Noun,noun,,,,,,,,,,,,,,,,,,,en,philosophers,,,,,,,,
fin,"…en ella, pareció a fin de cuentas haber existido…",Pronoun,Noun,,,,,,,,,,,,,,,,,,,en,end,,,,,,,,
finca,"…constituyo frente a esta finca,",Verb,él/ella/ud.,presente,fincar,fincarse,Noun,verb,noun,presente,él/ella/ud.,fincar,fincarse,,,,,,,,,en,farm or estate,,,,,,,,
fines,"…en todo momento para fines de alumbrado y calefacción,…",Verb,presente,tú,subjuntivo presente,finar,finarse,finir,Noun,tú,verbo,presente,subjuntivo presente,finir,finar,finarse,,,,,,en,n. end,,,,,,,,
fingir,…con ellas no debía fingir las emociones que no…,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to pretend,,,,,,,,
fino,…dispersan en un polvo fino que es inhalado por…,Verb,yo,presente,finar,finarse,finir,Adjective,Noun,verbo,presente,yo,finir,finar,finarse,,,,,,,en,fine,,,,,,,,
firmará,Y la firmará en la feria del…,Verb,él/ella/ud.,futuro,firmar,firmarse,verbo,futuro,firmar,él/ella/ud.,firmarse,,,,,,,,,,,en,will sign,,,,,,,,
físicamente,"…de que no existan físicamente esos contenedores,",Adverb,Noun,noun,adverb,,,,,,,,,,,,,,,,,en,physically,,,,,,,,
físico,si yo tuviera cuerpo físico usted,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,en,physical,,,,,,,,
flaco,No es gordo ni flaco.,Adjective,Noun,noun,adjective,,,,,,,,,,,,,,,,,en,thin,,,,,,,,
fletes,…Occidente y precios de fletes disparados.,Verb,tú,subjuntivo presente,fletar,fletarse,verb,tú,subjuntivo presente,fletarse,fletar,,,,,,,,,,,en,freight,,,,,,,,
flojo,muy flojo… Yo creo que J.…,Adjective,adjective,,,,,,,,,,,,,,,,,,,en,"adj. loose, slack; limp; feeble; soft; fading; thin; supine; watery; threadbare",,,,,,,,
floreció,"…y en la madrugada, floreció mi flor.",Verb,pretérito perfecto simple,él/ella/ud.,florecer,florecerse,verb,pretérito perfecto simple,él/ella/ud.,florecer,florecerse,,,,,,,,,,,en,it bloomed,,,,,,,,
florencia,"…finalmente, pasaré 2 noches en Florencia.",Noun,,,,,,,,,,,,,,,,,,,,en,Florence,,,,,,,,
folclore,"…era un personaje de folclore,",Noun,noun,,,,,,,,,,,,,,,,,,,en,folklore,,,,,,,,
follar,"…Quieres follar?- Sí, eso también, pero…",Verb,participio pasado,verbo,participio pasado,,,,,,,,,,,,,,,,,en,to fuck,,,,,,,,
fomentar,"de fomentar la violencia,",Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,"v. foment; promote; foster, encourage; advance, develop; nourish; patronize, sponsor",,,,,,,,
forjando,"…para ellos, se fue forjando un programa de ellos,…",Verb,gerundio,forjar,gerundio,verbo,forjar,,,,,,,,,,,,,,,en,"to forge, to make up, to build up",,,,,,,,
fracasada,…de una estrategia educativa fracasada.,,,,,,,,,,,,,,,,,,,,,en,failed,,,,,,,,
fracasado,…torno al más tarde fracasado tratamiento contra el,Verb,yo,pretérito perfecto compuesto,fracasar,Adjective,adjetivo,verbo,yo,pretérito perfecto compuesto,fracasar,,,,,,,,,,,en,failed,,,,,,,,
fragmentos,"…tiempo, se juntaron los fragmentos y se publicó en…",Noun,noun,,,,,,,,,,,,,,,,,,,en,fragments,,,,,,,,
frases,"…se lo dijo, con frases entrecortadas e insinuaciones veladas…",Noun,,,,,,,,,,,,,,,,,,,,en,n.  phrase; sentence; locution,,,,,,,,
frecuente,…será más o menos frecuente según el habitat donde…,Verb,él/ella/ud.,imperativo,frecuentar,Adjective,imperativo,verbo,él/ella/ud.,frecuentar,,,,,,,,,,,,en,"frequent, common, prevalent",,,,,,,,
frecuentes,"…lugares de enterramiento, fueron frecuentes escondites para los refugiados,…",Verb,tú,subjuntivo presente,frecuentar,Adjective,tú,verbo,subjuntivo presente,frecuentar,,,,,,,,,,,,en,frequent,,,,,,,,
frente,"…despecho, se retira del frente luego de arengar a…",Adverb,Noun,,,,,,,,,,,,,,,,,,,en,"against, front; brow/forehead",,,,,,,,
fronteras,…van y vienen sin fronteras… Las mercancías entran y…,Noun,,,,,,,,,,,,,,,,,,,,en,"confines, borders, limits, boundaries",,,,,,,,
fuego,…fiesta por excelencia del fuego... es una fiesta de…,Noun,,,,,,,,,,,,,,,,,,,,en,fire,,,,,,,,
fuente,fuente:,Noun,,,,,,,,,,,,,,,,,,,,en,"fountain, source",,,,,,,,
fuera,…hacia ellos- si no fuera por la tristeza que…,Verb,yo,subjuntivo pretérito imperfecto,ir,irse,ser,Adverb,Noun,verbo,ir,ser,yo,irse,subjuntivo pretérito imperfecto,,,,,,,en,out,,,,,,,,
fuerte,Principito entonces se rió fuerte,Adjective,Noun,,,,,,,,,,,,,,,,,,,en,loudly,,,,,,,,
fuertes,El caer Los ruidos fuertes,Adjective,Noun,sustantivo,adjetivo,,,,,,,,,,,,,,,,,en,strong,,,,,,,,
fuerza,Es cuestión de fuerza.,Verb,él/ella/ud.,presente,forzar,forzarse,Noun,sustantivo,verbo,forzar,presente,él/ella/ud.,forzarse,,,,,,,,,en,force,,,,,,,,
fuese,"Si fuese real, habría rastros de…",Verb,yo,subjuntivo pretérito imperfecto,ir,irse,ser,verbo,ir,ser,yo,irse,subjuntivo pretérito imperfecto,,,,,,,,,en,were (singular past subjunctive),,,,,,,,
fundadores,…es uno de los fundadores del,Noun,noun,,,,,,,,,,,,,,,,,,,en,founders,,,,,,,,
furgoneta,su furgoneta,Noun,noun,,,,,,,,,,,,,,,,,,,en,van,,,,,,,,
furiosa,"…tu cabeza, y está furiosa.",Adjective,Adverb,adjective,adverb,,,,,,,,,,,,,,,,,en,furious,,,,,,,,
fusilamiento,"…frente al pelotón de fusilamiento, el coronel Aureliano Buendía…",Noun,noun,,,,,,,,,,,,,,,,,,,en,firing,,,,,,,,
fusión,"…siento, unión total y fusión, los celos indican que…",Noun,,,,,,,,,,,,,,,,,,,,en,fusion,,,,,,,,
gafas,"situados en la retina, gafas con microcámaras incorporadas",Verb,presente,tú,gafar,gafarse,Noun,,,,,,,,,,,,,,,en,glasses,,,,,,,,
galante,…era un hombre muy galante y de los más…,Adjective,adjective,,,,,,,,,,,,,,,,,,,en,"gallant, brave, courteous; charming, attractive",,,,,,,,
galletas,…Creo que huelo a galletas...”,Noun,noun,,,,,,,,,,,,,,,,,,,en,cookies,,,,,,,,
gallina,gallina cacarea],Noun,noun,,,,,,,,,,,,,,,,,,,en,"adj.  chicken, type of fowl; chicken hearted, cowardly, fearful; (derogatory) Peruvian",,,,,,,,
gana,De buena gana me reiría con ellos–…,Verb,él/ella/ud.,presente,ganar,ganarse,Noun,verbo,presente,ganar,él/ella/ud.,ganarse,,,,,,,,,,en,win,,,,,,,,
ganado,"El concurso fue ganado por todos, y para…",Verb,yo,pretérito perfecto compuesto,ganar,ganarse,Adjective,Noun,verbo,yo,ganar,pretérito perfecto compuesto,ganarse,,,,,,,,,en,cattle,,,,,,,,
ganso,…todos!” dice Ignacio el Ganso.,Noun,noun,,,,,,,,,,,,,,,,,,,en,Goose,,,,,,,,
garganta,"…y nos duela la garganta. A veces causa fiebre,…",Noun,noun,,,,,,,,,,,,,,,,,,,en,throat,,,,,,,,
garras,…puedan escapar de sus garras.,Verb,presente,tú,subjuntivo presente,garrar,garrir,Noun,sustantivo,tú,verbo,presente,subjuntivo presente,garrar,garrir,,,,,,,en,claws,,,,,,,,
gasto,…con un tercio del gasto.,Verb,yo,presente,gastar,gastarse,Noun,sustantivo,verbo,gastar,presente,yo,gastarse,,,,,,,,,en,"expenditure, spending, waste",,,,,,,,
gastos,"…orden son de0,99€. Sin gastos ocultos.",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,"n.  expenses, outgoings, expenditures",,,,,,,,
gastronómicos,"…famosa por algunos productos gastronómicos, los más conocidos son…",Adjective,,,,,,,,,,,,,,,,,,,,en,gastronomic; the art of good eating,,,,,,,,
gazpachos,"…nos olvidemos de los gazpachos del Pinoso o Castalla,…",,,,,,,,,,,,,,,,,,,,,en,soup made of tomatoes,,,,,,,,
gemidos,…jadeos y gemidos de terror],Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,"n. groan, moan; wail; whimper, bleat n. wailing, lamenting",,,,,,,,
genealógico,"…Sirius, en el árbol genealógico",Adjective,adjective,,,,,,,,,,,,,,,,,,,en,genealogical,,,,,,,,
genéricos,"tromba los medicamentos genéricos, mucho más baratos, y…",Adjective,Noun,sustantivo,adjetivo,,,,,,,,,,,,,,,,,en,generic,,,,,,,,
género,"Para mí es un género menor, la verdad.",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,"genre, kind, type; genus; nature; gender",,,,,,,,
genial,"ser como eres, eres genial… NOT",Adjective,Noun,,,,,,,,,,,,,,,,,,,en,friendly,,,,,,,,
gente,…sin aranceles… pero la gente no.,Adverb,Noun,,,,,,,,,,,,,,,,,,,en,people,,,,,,,,
geógrafo,Yo soy historiador y geógrafo.,Noun,noun,,,,,,,,,,,,,,,,,,,en,geographer,,,,,,,,
germen,infeccioso germen digital ha contratado,Noun,noun,,,,,,,,,,,,,,,,,,,en,germ,,,,,,,,
gilipollas,"Tú eres gilipollas, tío.",,,,,,,,,,,,,,,,,,,,,en,"dickhead, arsehole [asshole, -USA], twat, arse, wanker, tosser,",,,,,,,,
gimnasia,"…llegado a profesor de gimnasia, y por último, era…",Noun,noun,,,,,,,,,,,,,,,,,,,en,gymnastics,,,,,,,,
gira,Año con año gira cada vez más rápido…,Verb,él/ella/ud.,presente,girar,Noun,verb,noun,girar,presente,él/ella/ud.,,,,,,,,,,,en,it spins,,,,,,,,
giraba,…creer que la tierra giraba en torno,Verb,yo,indicativo pretérito imperfecto,girar,verbo,girar,yo,indicativo pretérito imperfecto,,,,,,,,,,,,,en,"I / it / he / Ud. revolved, rotated, spun, turned",,,,,,,,
gire,…mujer] Gire a la izquierda.,Verb,él/ella/ud.,imperativo,girar,imperativo,verbo,girar,él/ella/ud.,,,,,,,,,,,,,en,turn,,,,,,,,
giren,"…frente, crucen el arroyo, giren a la derecha hacia…",Verb,ellos/ellas/uds.,imperativo,girar,verb,imperativo,girar,ellos/ellas/uds.,,,,,,,,,,,,,en,turn,,,,,,,,
glóin,…con tal ira en Glóin que el enano se…,,,,,,,,,,,,,,,,,,,,,en,glue,,,,,,,,
gloria,Solo es una vieja gloria desaparecida desde hace diez…,Verb,él/ella/ud.,presente,gloriar,gloriarse,Noun,verb,noun,presente,él/ella/ud.,gloriarse,gloriar,,,,,,,,,en,glory,,,,,,,,
gobernadores,…se reuniría con los gobernadores de los estados amazónicos…,Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,governors,,,,,,,,
gobierno,…otras palabras… el propio gobierno de China es quien…,Verb,yo,presente,gobernar,gobernarse,Noun,sustantivo,verbo,presente,yo,gobernar,gobernarse,,,,,,,,,en,"n. government, ruling of a country or area; political control; group of people that rule a country or area; guidance, instruction; direction; management, leadership; steering",,,,,,,,
golpe,…cuando se abrió de golpe silenciosamente.,Noun,noun,,,,,,,,,,,,,,,,,,,en,suddenly,,,,,,,,
golpeando,golpeando tomás aquellos que ven…,Verb,gerundio,golpear,verb,gerundio,golpear,,,,,,,,,,,,,,,en,hitting,,,,,,,,
golpecitos,"…siete, me despertaron unos golpecitos dados en la puerta…",,,,,,,,,,,,,,,,,,,,,en,taps,,,,,,,,
golpes,"…para no agarrarnos a golpes, sí es conveniente hablar…",Noun,noun,,,,,,,,,,,,,,,,,,,en,fights,,,,,,,,
gordito,"…mediano era el más gordito, y el hermano mayor…",Noun,noun,,,,,,,,,,,,,,,,,,,en,chubby,,,,,,,,
gorra,…saco y tenía una gorra de tela blanda que…,Noun,noun,,,,,,,,,,,,,,,,,,,en,cap,,,,,,,,
gota,"…natural, no usaba ni gota de maquillaje.",Noun,sustantivo,,,,,,,,,,,,,,,,,,,en,drop,,,,,,,,
gozado,no han gozado nunca de una gran…,Verb,yo,pretérito perfecto compuesto,gozar,gozarse,verbo,gozar,yo,pretérito perfecto compuesto,gozarse,,,,,,,,,,,en,enjoyed (oneself),,,,,,,,
gozar,Mi oveja puede gozar de comer las hierbas…,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to enjoy,,,,,,,,
grabación,"Kaela, pon la grabación justo antes de que…",Noun,noun,,,,,,,,,,,,,,,,,,,en,recording,,,,,,,,
grabado,"…lo he hecho, he grabado el vídeo en inglés,…",Verb,yo,pretérito perfecto compuesto,grabar,grabarse,Adjective,Noun,verbo,yo,pretérito perfecto compuesto,grabar,grabarse,,,,,,,,,en,recorded,,,,,,,,
grado,"…supuesto un ascenso de grado, sí no me siguieran…",Verb,yo,presente,gradar,Noun,verbo,presente,yo,gradar,,,,,,,,,,,,en,step; degree,,,,,,,,
grafiti,Grafiti no es un fenómeno…,Noun,,,,,,,,,,,,,,,,,,,,en,graffiti,,,,,,,,
granja,…la calle hacia la granja.,Noun,noun,,,,,,,,,,,,,,,,,,,en,farm,,,,,,,,
grano,…así que voy al grano.,Verb,yo,presente,granar,Noun,verb,noun,presente,yo,granar,,,,,,,,,,,en,point,,,,,,,,
grapar,Se me ocurrió grapar el pelo de mi…,Verb,participio pasado,verb,participio pasado,,,,,,,,,,,,,,,,,en,to staple,,,,,,,,
gratuitas,"completamente gratuitas, y si no contáramos…",Adjective,adjetivo,,,,,,,,,,,,,,,,,,,en,free,en,"gratuito = adj. gratuitous, free of charge, free; wanton",,,,,,
graves,Graves incendios,Verb,tú,subjuntivo presente,gravar,Adjective,Noun,sustantivo,adjetivo,tú,verbo,subjuntivo presente,gravar,,,,,,,,,en,serious (plural),,,,,,,,
griego,"…Acarina o Acari, del griego akarés,"" diminuto"","" que no…",Adjective,Noun,,,,,,,,,,,,,,,,,,,en,greek,,,,,,,,
grietas,"…puede desplazarse 40 cm), las grietas de los suelos de…",Verb,presente,grietarse,Noun,verbo,presente,grietarse,,,,,,,,,,,,,,en,"n. fissure, narrow crack; cleft, seam, crack",,,,,,,,
